i	val
0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.011976
42	0.006986
43	0.005988
44	0.016966
45	0.042914
46	0.088822
47	0.089820
48	0.061876
49	0.051896
50	0.040918
51	0.033932
52	0.028942
53	0.036926
54	0.054890
55	0.099800
56	0.078842
57	0.073852
58	0.034930
59	0.008982
60	0.004990
61	0.003992
62	0.011976
63	0.004990
64	0.000998
65	0.000998
66	0.000998
67	0.001996
68	0.000998
69	0.007984
70	0.002994
71	0.002994
72	0.000998
73	0.006986
74	0.005988
75	0.000998
76	0.003992
77	0.003992
78	0.004990
79	0.004990
80	0.000998
81	0.000998
82	0.001996
83	0.000998
84	0.000998
85	0.000998
86	0.001996
87	0.001996
88	0.000998
89	0.002994
90	0.009980
91	0.007984
92	0.000998
93	0.001996
94	0.001996
95	0.002994
96	0.004990
97	0.000998
98	0.002994
99	0.000998
100	0.000998
